month,solePubs,collabPubs,solePubsCorona,collabPubsCorona,n_participation,Participation_Corona,country
201501,987.0,796.0,1.0,0.0,5910.0,9.0,Australia
201501,1490.0,385.0,2.0,1.0,4058.0,5.0,South Korea
201501,901.0,716.0,0.0,0.0,6487.0,0.0,Spain
201501,7934.0,5244.0,8.0,6.0,46793.0,66.0,United States
201501,1669.0,1481.0,1.0,1.0,11945.0,7.0,Germany
201501,98.0,93.0,1.0,0.0,594.0,1.0,Thailand
201501,227.0,213.0,0.0,1.0,1530.0,2.0,Israel
201501,1341.0,880.0,1.0,0.0,9906.0,1.0,Italy
201501,468.0,185.0,0.0,1.0,2139.0,2.0,Taiwan
201501,5570.0,1429.0,5.0,5.0,9147.0,59.0,China
201501,2211.0,561.0,0.0,0.0,9181.0,0.0,Japan
201501,1350.0,1804.0,0.0,1.0,10066.0,1.0,United Kingdom
201501,393.0,186.0,0.0,0.0,2217.0,0.0,Poland
201501,737.0,731.0,0.0,0.0,5253.0,0.0,Netherlands
201501,1119.0,926.0,0.0,0.0,6613.0,0.0,Canada
201501,710.0,115.0,0.0,0.0,3131.0,0.0,Turkey
201501,124.0,135.0,0.0,1.0,810.0,6.0,Ireland
201501,1222.0,358.0,0.0,1.0,4717.0,1.0,India
201501,830.0,432.0,1.0,1.0,5741.0,19.0,Brazil
201501,164.0,200.0,0.0,0.0,1317.0,0.0,Finland
201501,364.0,589.0,1.0,0.0,3107.0,1.0,Switzerland
201501,101.0,151.0,0.0,0.0,622.0,0.0,South Africa
201501,254.0,408.0,1.0,0.0,2250.0,3.0,Belgium
201501,175.0,147.0,0.0,0.0,1145.0,0.0,Greece
201501,867.0,1017.0,0.0,2.0,7743.0,3.0,France
201501,343.0,486.0,0.0,0.0,2546.0,0.0,Sweden
201501,102.0,103.0,0.0,0.0,558.0,0.0,New Zealand
201501,195.0,178.0,0.0,0.0,1274.0,0.0,Portugal
201501,143.0,174.0,0.0,0.0,1009.0,0.0,Norway
201501,78.0,99.0,0.0,0.0,675.0,0.0,Chile
201501,97.0,122.0,0.0,0.0,733.0,0.0,Argentina
201501,13.0,18.0,0.0,0.0,91.0,0.0,Bulgaria
201501,480.0,127.0,1.0,0.0,2152.0,2.0,Iran
201501,139.0,133.0,0.0,0.0,886.0,0.0,Singapore
201501,14.0,38.0,0.0,0.0,140.0,0.0,Qatar
201501,7.0,34.0,0.0,0.0,87.0,0.0,Jordan
201501,176.0,258.0,0.0,0.0,1398.0,0.0,Austria
201501,29.0,41.0,0.0,0.0,230.0,0.0,Croatia
201501,197.0,134.0,0.0,0.0,1306.0,0.0,Mexico
201501,151.0,79.0,0.0,0.0,673.0,0.0,Egypt
201501,320.0,354.0,0.0,0.0,2096.0,0.0,Denmark
201501,57.0,45.0,0.0,0.0,356.0,0.0,Romania
201501,43.0,61.0,0.0,0.0,246.0,0.0,Slovenia
201501,42.0,58.0,0.0,0.0,238.0,0.0,Colombia
201501,32.0,34.0,0.0,0.0,241.0,0.0,Ghana
201501,11.0,57.0,0.0,0.0,205.0,0.0,Kenya
