non_Coronavirus,Coronavirus,month
67408.0,52.0,2019-01
58914.0,46.0,2019-02
65058.0,53.0,2019-03
63108.0,51.0,2019-04
65226.0,63.0,2019-05
62652.0,61.0,2019-06
69669.0,61.0,2019-07
62490.0,74.0,2019-08
66253.0,65.0,2019-09
67408.0,67.0,2019-10
62934.0,68.0,2019-11
64618.0,82.0,2019-12
68500.0,246.0,2020-01
69674.0,1077.0,2020-02
77146.0,4320.0,2020-03
80150.0,10860.0,2020-04
79511.0,11754.0,2020-05
76814.0,9604.0,2020-06
74986.0,8103.0,2020-07
67868.0,6866.0,2020-08
64175.0,5902.0,2020-09
61246.0,5478.0,2020-10
58157.0,5216.0,2020-11
52687.0,4824.0,2020-12
46098.0,4500.0,2021-01
34782.0,3338.0,2021-02
27858.0,2883.0,2021-03
13195.0,1450.0,2021-04
2647.0,450.0,2021-05
