corona_pre,corona_post,others_pre,others_post
97.0,5353.0,133363.0,66296.0
266.0,3080.0,124965.0,64575.0
61.0,6835.0,119293.0,68286.0
973.0,45845.0,926324.0,465002.0
151.0,6885.0,223597.0,109231.0
44.0,985.0,17336.0,12213.0
11.0,2065.0,33395.0,16280.0
85.0,14404.0,164184.0,93212.0
68.0,1488.0,44564.0,25748.0
774.0,17691.0,567890.0,375795.0
119.0,4172.0,194303.0,101213.0
166.0,13350.0,237088.0,110811.0
29.0,2059.0,47679.0,33983.0
130.0,2979.0,103123.0,48010.0
122.0,6587.0,146990.0,70469.0
21.0,3767.0,47020.0,26012.0
17.0,1390.0,20458.0,11259.0
45.0,10631.0,112394.0,66329.0
64.0,4691.0,97710.0,47986.0
13.0,662.0,25180.0,12172.0
65.0,3041.0,72369.0,35435.0
20.0,1464.0,22399.0,11993.0
35.0,2114.0,51176.0,25063.0
15.0,1762.0,24243.0,13993.0
111.0,5592.0,134222.0,60261.0
37.0,1720.0,60089.0,29073.0
5.0,697.0,19354.0,9604.0
12.0,1509.0,30438.0,17380.0
16.0,910.0,28508.0,14484.0
3.0,828.0,14285.0,7875.0
7.0,732.0,15595.0,7277.0
0.0,150.0,3380.0,1905.0
28.0,4537.0,54027.0,32125.0
55.0,1784.0,24000.0,12408.0
15.0,715.0,4191.0,3260.0
9.0,585.0,3454.0,2744.0
14.0,1640.0,35563.0,18431.0
8.0,428.0,6003.0,3947.0
15.0,1557.0,27233.0,14078.0
55.0,1753.0,20577.0,15736.0
25.0,1298.0,46445.0,22370.0
2.0,751.0,8483.0,7463.0
4.0,303.0,6536.0,4042.0
7.0,821.0,9714.0,5833.0
7.0,357.0,4131.0,2737.0
13.0,389.0,5527.0,3184.0
3.0,299.0,2285.0,1485.0
10.0,1926.0,13493.0,11970.0
1.0,70.0,1201.0,705.0
9.0,1156.0,28536.0,19603.0
0.0,46.0,1078.0,610.0
3.0,31.0,656.0,287.0
23.0,1317.0,16197.0,11517.0
0.0,340.0,6937.0,3771.0
4.0,581.0,2660.0,1853.0
19.0,401.0,4818.0,4100.0
1.0,160.0,2502.0,1521.0
4.0,981.0,5743.0,5909.0
0.0,24.0,313.0,215.0
8.0,424.0,12557.0,7262.0
206.0,3207.0,21713.0,20951.0
0.0,157.0,3659.0,2038.0
0.0,160.0,3574.0,2598.0
15.0,251.0,8672.0,2465.0
2.0,108.0,4167.0,1146.0
1.0,271.0,2527.0,1667.0
0.0,57.0,2130.0,964.0
3.0,137.0,2036.0,1105.0
7.0,1028.0,8691.0,4774.0
0.0,48.0,625.0,298.0
0.0,91.0,1300.0,1020.0
15.0,751.0,3465.0,3360.0
0.0,108.0,1021.0,591.0
7.0,452.0,5142.0,2838.0
4.0,291.0,5676.0,2988.0
0.0,36.0,809.0,432.0
1.0,110.0,3248.0,1665.0
0.0,25.0,435.0,200.0
2.0,285.0,1792.0,1206.0
1.0,16.0,275.0,117.0
3.0,107.0,1374.0,569.0
0.0,43.0,471.0,265.0
2.0,162.0,3565.0,2832.0
6.0,428.0,3614.0,2931.0
6.0,1282.0,4387.0,4054.0
1.0,302.0,1627.0,1318.0
5.0,285.0,3908.0,2401.0
0.0,50.0,625.0,372.0
1.0,102.0,1219.0,498.0
2.0,176.0,2536.0,1332.0
4.0,39.0,871.0,386.0
2.0,97.0,709.0,347.0
0.0,10.0,226.0,64.0
0.0,12.0,329.0,184.0
2.0,65.0,1119.0,504.0
2.0,47.0,674.0,424.0
0.0,5.0,121.0,50.0
1.0,24.0,290.0,127.0
11.0,1049.0,8179.0,5446.0
7.0,668.0,6883.0,6893.0
4.0,131.0,3347.0,1890.0
1.0,37.0,409.0,204.0
1.0,135.0,2021.0,1196.0
0.0,13.0,202.0,121.0
0.0,32.0,341.0,169.0
0.0,70.0,497.0,517.0
0.0,32.0,835.0,429.0
3.0,353.0,1759.0,1929.0
0.0,4.0,238.0,99.0
0.0,18.0,279.0,143.0
4.0,143.0,2362.0,1176.0
6.0,464.0,2778.0,2436.0
0.0,13.0,106.0,39.0
1.0,113.0,1088.0,1056.0
0.0,69.0,404.0,394.0
0.0,89.0,1550.0,879.0
2.0,144.0,1171.0,654.0
0.0,44.0,457.0,222.0
0.0,51.0,439.0,313.0
0.0,0.0,124.0,61.0
0.0,15.0,252.0,84.0
1.0,109.0,1151.0,716.0
2.0,64.0,1221.0,606.0
0.0,25.0,226.0,82.0
0.0,59.0,444.0,290.0
0.0,14.0,198.0,109.0
1.0,125.0,563.0,490.0
0.0,67.0,944.0,442.0
0.0,24.0,340.0,164.0
1.0,45.0,302.0,223.0
0.0,117.0,1346.0,609.0
0.0,17.0,62.0,37.0
0.0,21.0,560.0,342.0
0.0,171.0,1141.0,798.0
0.0,8.0,45.0,40.0
3.0,95.0,762.0,492.0
2.0,46.0,389.0,241.0
0.0,129.0,249.0,219.0
1.0,25.0,167.0,128.0
0.0,11.0,176.0,91.0
0.0,21.0,66.0,74.0
0.0,7.0,111.0,47.0
1.0,8.0,90.0,26.0
0.0,16.0,209.0,109.0
0.0,2.0,100.0,38.0
0.0,7.0,82.0,40.0
0.0,1.0,49.0,18.0
3.0,53.0,844.0,413.0
0.0,1.0,51.0,31.0
0.0,60.0,465.0,198.0
0.0,39.0,225.0,211.0
0.0,11.0,73.0,56.0
0.0,39.0,260.0,201.0
0.0,2.0,76.0,63.0
0.0,23.0,365.0,224.0
0.0,45.0,481.0,271.0
0.0,22.0,158.0,80.0
