month,solePubs,collabPubs,solePubsCorona,collabPubsCorona,country
201901,1128.0,1256.0,0.0,2.0,Canada
201901,251.0,254.0,0.0,1.0,Portugal
201901,1047.0,1129.0,1.0,2.0,Australia
201901,851.0,1415.0,2.0,1.0,France
201901,705.0,982.0,1.0,2.0,Netherlands
201901,8121.0,6791.0,9.0,5.0,United States
201901,8663.0,2651.0,14.0,2.0,China
201901,42.0,14.0,0.0,0.0,Morocco
201901,1302.0,2537.0,0.0,3.0,United Kingdom
201901,383.0,815.0,1.0,1.0,Switzerland
201901,1647.0,1932.0,0.0,2.0,Germany
201901,148.0,298.0,0.0,1.0,Singapore
201901,159.0,216.0,0.0,1.0,Greece
201901,48.0,71.0,0.0,0.0,Serbia
201901,60.0,79.0,0.0,0.0,Romania
201901,324.0,457.0,0.0,0.0,Denmark
201901,406.0,616.0,0.0,0.0,Sweden
201901,2280.0,807.0,1.0,0.0,Japan
201901,179.0,292.0,0.0,1.0,Norway
201901,650.0,201.0,0.0,0.0,Turkey
201901,276.0,318.0,0.0,0.0,Israel
201901,128.0,128.0,0.0,0.0,Chile
201901,220.0,211.0,0.0,0.0,Russia
201901,264.0,516.0,0.0,0.0,Belgium
201901,2.0,8.0,0.0,0.0,Mozambique
201901,1589.0,1397.0,0.0,1.0,Italy
201901,7.0,13.0,0.0,0.0,Bosnia and Herzegovina
201901,556.0,326.0,0.0,0.0,Poland
201901,40.0,40.0,0.0,0.0,Lithuania
201901,142.0,231.0,0.0,0.0,Finland
201901,996.0,1093.0,0.0,0.0,Spain
201901,966.0,647.0,0.0,0.0,Brazil
201901,611.0,259.0,0.0,0.0,Iran
201901,212.0,399.0,0.0,0.0,Austria
201901,1125.0,538.0,0.0,0.0,India
201901,56.0,78.0,0.0,0.0,Colombia
201901,220.0,216.0,0.0,0.0,Mexico
201901,17.0,63.0,0.0,0.0,Vietnam
201901,14.0,30.0,0.0,0.0,Uruguay
201901,1446.0,455.0,2.0,0.0,South Korea
201901,499.0,254.0,2.0,0.0,Taiwan
201901,131.0,174.0,0.0,0.0,South Africa
201901,146.0,196.0,0.0,0.0,Ireland
201901,2.0,4.0,0.0,0.0,Nicaragua
201901,39.0,104.0,0.0,0.0,Peru
201901,22.0,23.0,0.0,0.0,Sri Lanka
201901,40.0,52.0,0.0,0.0,Indonesia
201901,0.0,5.0,0.0,0.0,Bolivia
201901,142.0,187.0,0.0,1.0,New Zealand
201901,116.0,256.0,1.0,1.0,Saudi Arabia
201901,63.0,73.0,0.0,0.0,Nigeria
201901,44.0,58.0,0.0,0.0,Lebanon
201901,18.0,36.0,0.0,0.0,United Arab Emirates
201901,46.0,54.0,0.0,0.0,Jersey
201901,116.0,152.0,0.0,0.0,Malaysia
201901,15.0,71.0,0.0,0.0,Bangladesh
201901,1.0,2.0,0.0,0.0,Honduras
201901,3.0,11.0,0.0,0.0,Costa Rica
201901,217.0,154.0,0.0,0.0,Egypt
201901,23.0,37.0,0.0,0.0,Slovakia
201901,95.0,127.0,0.0,0.0,Hungary
201901,7.0,18.0,0.0,0.0,Latvia
201901,22.0,32.0,0.0,0.0,Nepal
201901,76.0,81.0,0.0,0.0,Georgia
201901,0.0,4.0,0.0,0.0,Liberia
201901,19.0,36.0,0.0,0.0,Bulgaria
201901,153.0,119.0,0.0,0.0,Thailand
201901,1.0,9.0,0.0,0.0,Myanmar
201901,27.0,47.0,0.0,0.0,Ghana
201901,1.0,8.0,0.0,0.0,Grenada
201901,41.0,68.0,0.0,0.0,Slovenia
201901,34.0,81.0,1.0,0.0,Croatia
201901,44.0,43.0,0.0,0.0,Tunisia
201901,0.0,7.0,0.0,0.0,Guatemala
201901,84.0,180.0,0.0,0.0,Pakistan
201901,6.0,53.0,0.0,0.0,Ukraine
201901,0.0,10.0,0.0,0.0,Montenegro
201901,5.0,22.0,0.0,0.0,Algeria
201901,8.0,43.0,0.0,0.0,Cyprus
201901,6.0,21.0,0.0,0.0,Luxembourg
201901,4.0,4.0,0.0,0.0,Bahrain
201901,81.0,56.0,0.0,0.0,Ethiopia
201901,3.0,13.0,0.0,0.0,Rwanda
201901,9.0,16.0,0.0,0.0,Senegal
201901,10.0,54.0,0.0,0.0,Uganda
201901,5.0,16.0,0.0,0.0,Zimbabwe
201901,88.0,147.0,0.0,0.0,Argentina
201901,13.0,21.0,0.0,0.0,Iraq
201901,0.0,9.0,0.0,0.0,Paraguay
201901,1.0,5.0,0.0,0.0,Dominica
201901,12.0,50.0,0.0,0.0,Tanzania
201901,6.0,21.0,0.0,0.0,Zambia
201901,9.0,27.0,0.0,0.0,Cameroon
201901,3.0,15.0,0.0,0.0,Panama
201901,11.0,84.0,0.0,0.0,Kenya
201901,3.0,16.0,0.0,1.0,Kazakhstan
201901,31.0,35.0,0.0,0.0,Jordan
201901,30.0,70.0,1.0,1.0,Qatar
201901,16.0,43.0,0.0,0.0,Estonia
201901,8.0,20.0,0.0,0.0,Kuwait
201901,4.0,16.0,0.0,0.0,Belarus
201901,8.0,34.0,0.0,0.0,Iceland
201901,3.0,13.0,0.0,0.0,Mali
201901,7.0,18.0,0.0,0.0,Oman
201901,0.0,3.0,0.0,0.0,Yemen
201901,2.0,19.0,0.0,0.0,Cuba
201901,2.0,6.0,0.0,0.0,Guinea
201901,2.0,9.0,0.0,0.0,Madagascar
201901,0.0,6.0,0.0,0.0,Benin
201901,9.0,24.0,0.0,0.0,Ecuador
201901,5.0,15.0,0.0,0.0,Sudan
201901,1.0,11.0,0.0,0.0,Mongolia
201901,0.0,17.0,0.0,0.0,Venezuela
201901,1.0,11.0,0.0,0.0,Armenia
201901,6.0,35.0,0.0,0.0,Philippines
201901,0.0,10.0,0.0,0.0,Democratic Republic of the Congo
201901,2.0,8.0,0.0,0.0,Malta
201901,1.0,10.0,0.0,0.0,Albania
201901,0.0,1.0,0.0,0.0,Turkmenistan
201901,1.0,19.0,0.0,0.0,Malawi
201901,0.0,8.0,0.0,0.0,Monaco
201901,0.0,3.0,0.0,0.0,Liechtenstein
201901,0.0,6.0,0.0,0.0,Chad
201901,0.0,5.0,0.0,0.0,Uzbekistan
201901,4.0,23.0,0.0,0.0,Burkina Faso
201901,1.0,5.0,0.0,0.0,Niger
201901,1.0,5.0,0.0,0.0,Azerbaijan
201901,2.0,3.0,0.0,0.0,North Macedonia
201901,1.0,6.0,0.0,0.0,Dominican Republic
201901,0.0,16.0,0.0,0.0,Cambodia
201901,0.0,2.0,0.0,0.0,Saint Kitts and Nevis
201901,0.0,3.0,0.0,0.0,Macao
201901,0.0,1.0,0.0,0.0,Somalia
201901,0.0,0.0,0.0,0.0,San Marino
201901,0.0,2.0,0.0,0.0,Central African Republic
201901,0.0,5.0,0.0,0.0,Mauritius
201901,0.0,2.0,0.0,0.0,Fiji
201901,0.0,3.0,0.0,0.0,Curacao
201901,0.0,1.0,0.0,0.0,Republic of the Congo
201901,0.0,5.0,0.0,0.0,Namibia
201901,1.0,4.0,0.0,0.0,Togo
201901,0.0,4.0,0.0,0.0,Brunei
201901,0.0,4.0,0.0,0.0,Barbados
201901,8.0,3.0,0.0,0.0,Czechia
201901,0.0,2.0,0.0,0.0,Guyana
201901,1.0,7.0,0.0,0.0,Gambia
201901,0.0,6.0,0.0,0.0,Moldova
201901,0.0,2.0,0.0,0.0,Libya
201901,0.0,1.0,0.0,0.0,Guadeloupe
201901,4.0,1.0,0.0,0.0,Syria
201901,0.0,2.0,0.0,0.0,Belize
201901,0.0,1.0,0.0,0.0,Andorra
201901,0.0,3.0,0.0,0.0,Kyrgyzstan
201901,2.0,7.0,0.0,0.0,Botswana
201901,0.0,0.0,0.0,0.0,Tajikistan
201901,0.0,1.0,0.0,0.0,Sint Maarten
201901,1.0,2.0,0.0,0.0,Trinidad and Tobago
201901,0.0,1.0,0.0,0.0,Samoa
201901,0.0,2.0,0.0,0.0,French Guiana
