country,month,solePubs,collabPubs,solePubsCorona,collabPubsCorona
Portugal,201901,243.0,252.0,0.0,1.0
Australia,201901,1026.0,1108.0,1.0,2.0
France,201901,834.0,1379.0,2.0,1.0
Netherlands,201901,691.0,959.0,1.0,2.0
United States,201901,7929.0,6625.0,9.0,5.0
China,201901,8280.0,2560.0,14.0,2.0
Morocco,201901,36.0,14.0,0.0,0.0
United Kingdom,201901,1276.0,2491.0,0.0,3.0
Switzerland,201901,368.0,796.0,1.0,1.0
Germany,201901,1593.0,1886.0,0.0,2.0
Singapore,201901,145.0,288.0,0.0,1.0
Canada,201901,1100.0,1228.0,0.0,2.0
Greece,201901,152.0,214.0,0.0,1.0
Serbia,201901,45.0,69.0,0.0,0.0
Romania,201901,55.0,77.0,0.0,0.0
Denmark,201901,317.0,447.0,0.0,0.0
Sweden,201901,399.0,603.0,0.0,0.0
Japan,201901,2237.0,788.0,1.0,0.0
Norway,201901,175.0,288.0,0.0,1.0
Turkey,201901,629.0,195.0,0.0,0.0
Israel,201901,269.0,310.0,0.0,0.0
Chile,201901,120.0,124.0,0.0,0.0
Russia,201901,212.0,208.0,0.0,0.0
Belgium,201901,257.0,506.0,0.0,0.0
Mozambique,201901,2.0,8.0,0.0,0.0
Italy,201901,1527.0,1357.0,0.0,1.0
Bosnia and Herzegovina,201901,2.0,11.0,0.0,0.0
Poland,201901,528.0,323.0,0.0,0.0
Lithuania,201901,37.0,39.0,0.0,0.0
Finland,201901,137.0,228.0,0.0,0.0
Spain,201901,974.0,1067.0,0.0,0.0
Brazil,201901,1002.0,645.0,0.0,0.0
Iran,201901,588.0,253.0,0.0,0.0
Austria,201901,205.0,391.0,0.0,0.0
India,201901,1078.0,522.0,0.0,0.0
Colombia,201901,44.0,76.0,0.0,0.0
Mexico,201901,206.0,199.0,0.0,0.0
Vietnam,201901,17.0,59.0,0.0,0.0
Uruguay,201901,14.0,30.0,0.0,0.0
South Korea,201901,1394.0,439.0,2.0,0.0
Taiwan,201901,486.0,243.0,2.0,0.0
South Africa,201901,128.0,170.0,0.0,0.0
Ireland,201901,143.0,191.0,0.0,0.0
Nicaragua,201901,1.0,4.0,0.0,0.0
Peru,201901,38.0,100.0,0.0,0.0
