non-Coronavirus,Coronavirus,month
67408.0,52.0,Jan 2019
58914.0,46.0,Feb 2019
65058.0,53.0,Mar 2019
63108.0,51.0,Apr 2019
65226.0,63.0,May 2019
62652.0,61.0,Jun 2019
69669.0,61.0,Jul 2019
62490.0,74.0,Aug 2019
66253.0,65.0,Sep 2019
67408.0,67.0,Oct 2019
62934.0,68.0,Nov 2019
64618.0,82.0,Dec 2019
68500.0,246.0,Jan 2020
69674.0,1077.0,Feb 2020
77146.0,4320.0,Mar 2020
80150.0,10860.0,Apr 2020
79511.0,11754.0,May 2020
76814.0,9604.0,Jun 2020
74986.0,8103.0,Jul 2020
67868.0,6866.0,Aug 2020
64175.0,5902.0,Sep 2020
61246.0,5478.0,Oct 2020
58157.0,5216.0,Nov 2020
52687.0,4824.0,Dec 2020
46098.0,4500.0,Jan 2021
34782.0,3338.0,Feb 2021
27858.0,2883.0,Mar 2021
13195.0,1450.0,Apr 2021
2647.0,450.0,May 2021
