country,month,solePubs,collabPubs,solePubsCorona,collabPubsCorona
India,201901,1073.0,518.0,0.0,0.0
Uganda,201901,10.0,52.0,0.0,0.0
Denmark,201901,316.0,446.0,0.0,0.0
Japan,201901,2221.0,784.0,1.0,0.0
France,201901,831.0,1367.0,2.0,1.0
Australia,201901,1023.0,1103.0,1.0,2.0
South Korea,201901,1379.0,433.0,2.0,0.0
United States,201901,7896.0,6593.0,9.0,5.0
Switzerland,201901,368.0,789.0,1.0,1.0
Tanzania,201901,12.0,50.0,0.0,0.0
Portugal,201901,237.0,252.0,0.0,1.0
United Kingdom,201901,1270.0,2471.0,0.0,3.0
Italy,201901,1508.0,1343.0,0.0,1.0
Singapore,201901,145.0,288.0,0.0,1.0
Canada,201901,1093.0,1219.0,0.0,2.0
Sweden,201901,390.0,603.0,0.0,0.0
China,201901,8274.0,2557.0,14.0,2.0
Netherlands,201901,690.0,953.0,1.0,2.0
Brazil,201901,1000.0,643.0,0.0,0.0
Morocco,201901,36.0,14.0,0.0,0.0
Germany,201901,1584.0,1876.0,0.0,2.0
Costa Rica,201901,3.0,11.0,0.0,0.0
Turkey,201901,626.0,194.0,0.0,0.0
Greece,201901,151.0,213.0,0.0,1.0
Iran,201901,586.0,253.0,0.0,0.0
South Africa,201901,127.0,169.0,0.0,0.0
Moldova,201901,0.0,6.0,0.0,0.0
Hungary,201901,91.0,123.0,0.0,0.0
Austria,201901,201.0,389.0,0.0,0.0
Serbia,201901,45.0,69.0,0.0,0.0
Romania,201901,52.0,77.0,0.0,0.0
Argentina,201901,86.0,141.0,0.0,0.0
Israel,201901,266.0,306.0,0.0,0.0
Spain,201901,959.0,1060.0,0.0,0.0
Russia,201901,211.0,209.0,0.0,0.0
Belgium,201901,257.0,504.0,0.0,0.0
Norway,201901,169.0,289.0,0.0,1.0
Vietnam,201901,17.0,61.0,0.0,0.0
Malaysia,201901,111.0,145.0,0.0,0.0
Ireland,201901,143.0,190.0,0.0,0.0
Taiwan,201901,470.0,242.0,2.0,0.0
Chile,201901,118.0,124.0,0.0,0.0
Egypt,201901,211.0,149.0,0.0,0.0
Jordan,201901,30.0,34.0,0.0,0.0
Thailand,201901,146.0,115.0,0.0,0.0
Qatar,201901,28.0,66.0,1.0,1.0
Bangladesh,201901,14.0,68.0,0.0,0.0
Saudi Arabia,201901,110.0,247.0,1.0,1.0
Poland,201901,522.0,321.0,0.0,0.0
Iceland,201901,8.0,33.0,0.0,0.0
Lebanon,201901,41.0,57.0,0.0,0.0
New Zealand,201901,138.0,181.0,0.0,1.0
Mozambique,201901,2.0,8.0,0.0,0.0
Lithuania,201901,37.0,39.0,0.0,0.0
Bosnia and Herzegovina,201901,2.0,11.0,0.0,0.0
Finland,201901,136.0,228.0,0.0,0.0
Slovenia,201901,39.0,63.0,0.0,0.0
Georgia,201901,74.0,80.0,0.0,0.0
New Caledonia,201901,0.0,5.0,0.0,0.0
Myanmar,201901,1.0,8.0,0.0,0.0
Croatia,201901,34.0,77.0,1.0,0.0
Zambia,201901,6.0,21.0,0.0,0.0
Pakistan,201901,80.0,173.0,0.0,0.0
Jersey,201901,42.0,52.0,0.0,0.0
Cameroon,201901,9.0,26.0,0.0,0.0
Uruguay,201901,14.0,30.0,0.0,0.0
Peru,201901,38.0,98.0,0.0,0.0
Ethiopia,201901,80.0,56.0,0.0,0.0
Colombia,201901,44.0,75.0,0.0,0.0
Kenya,201901,10.0,80.0,0.0,0.0
Democratic Republic of the Congo,201901,0.0,10.0,0.0,0.0
Estonia,201901,14.0,43.0,0.0,0.0
Mexico,201901,204.0,199.0,0.0,0.0
Slovakia,201901,22.0,35.0,0.0,0.0
